Title,Author(s),Journal,Year,# times Cited (Papers),# times Cited (Patents),URL,Affiliations,Countries,Abstract
Unlimited High Breakdown Voltage by Natural Super Junction of Polarized Semiconductor,"['Hidetoshi Ishida', 'Daisuke Shibata', 'Manabu Yanagihara', 'Yasuhiro Uemoto', 'Hisayoshi Matsuo', 'Tetsuzo Ueda', 'Tsuyoshi Tanaka', 'Daisuke Ueda']",IEEE Electron Device Letters,2008,50,9,https://ieeexplore.ieee.org/document/4631459/,"{'Semiconductor Device Research Center, Semiconductor Company, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan', 'Advanced Technology Research Laboratories, Matsushita Elecrric Indusrrial Company Limited, Kyoto, Japan'}",{'Japan'},"A breakdown mechanism of polarized semiconductors represented by GaN-based materials is presented, based on the concept of a natural super junction, which is established by the inherent material polarization. In this concept, owing to the precise matching of positive and negative polarizations of both sides of GaN and AlGaN materials, average charge concentration in the material becomes nearly zero under reverse bias condition, which realizes extremely high breakdown voltage. This model is confirmed by device simulation taking all polarization charges of GaN-based materials into account. Furthermore, experimentally fabricated GaN-based Schottky barrier diodes showed a linear increase of breakdown voltage along the anode-cathode spacing, achieving a record breakdown voltage over 9000 V."
"Growth Parameter Dependence of Structural Characterizations of Diluted Magnetic Semiconductor (Ga, Cr)As","['J. Lu', 'J. F. Bi', 'W. Z. Wang', 'H. D. Gan', 'H. J. Meng', 'J. J. Deng', 'H. Z. Zheng', 'J. H. Zhao']",IEEE Transactions on Magnetics,2008,9,0,https://ieeexplore.ieee.org/document/4717502/,"{'State Key Laboratory for Superlattices and Microstructures, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China'}",{'China'},"We report the influence of growth parameters and post-growth annealing on the structural characterizations and magnetic properties of (Ga, Cr)As films. The crystalline quality and magnetic properties are sensitive to the growth conditions. The single-phase (Ga, Cr)As film with the Curie temperature of 10 K is synthesized at growth temperature T s = 250degC and with nominal Cr content x = 0.016 . However, for the films with x > 0.02, the aggregation of Cr atoms is strongly enhanced as both T s and x increase, which not only brings strong compressive strain in the epilayer, but also roughens the surface. The origin of room-temperature ferromagnetism in (Ga, Cr)As films with nanoclusters is also discussed."
High-Efficiency 808-nm InGaAlAs–AlGaAs Double-Quantum-Well Semiconductor Lasers With Asymmetric Waveguide Structures,"['Lin Li', 'Guojun Liu', 'Zhanguo Li', 'Mei Li', 'Hui Li', 'Xiaohua Wang', 'Chunming Wan']",IEEE Photonics Technology Letters,2008,29,0,https://ieeexplore.ieee.org/document/4472048/,"{'National Key Laboratory of High Power Semiconductor Lasers, Changchun University of Science and Technology, Changchun, China'}",{'China'},"The InGaAlAs-AlGaAs double-quantum-well semiconductor lasers grown by molecular beam epitaxy show high quantum efficiency and high power conversion efficiency at continuous-wave power output using asymmetric waveguide structures. The threshold current density and slope efficiency of the device are 180 A/cm 2 and 1.4 W/A, respectively. The internal loss and the internal quantum efficiency are 1.1 cm -1 and 97%, respectively. The 75% maximum power conversion efficiency is achieved in 100-mum stripe widths 808-nm-emitting laser diodes with 1000-mum cavity length."
A GaAs-Based Hybrid Integration of a Tunneling Diode and a 1060-nm Semiconductor Laser,"['Junping Mi', 'Hongyan Yu', 'Huolei Wang', 'Shaoyang Tan', 'Weixi Chen', 'Ying Ding', 'Jiaoqing Pan']",IEEE Photonics Technology Letters,2015,8,0,https://ieeexplore.ieee.org/document/6930721/,"{'School of Engineering, University of Glasgow, Glasgow, U.K.', 'Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China', 'State Key Laboratory for Mesoscopic Physics, School of Physics, Peking University, Beijing, China'}","{'UK', 'China'}","We report on a hybrid integrated tunneling diode, with a simple structure, and a quantum well laser diode, lasing at ~1060 nm, on GaAs substrate. The low-frequency operation of the integrated circuit was measured and obvious negative differential resistance regions were shown in the electrical and optical output. The electrical and optical bistability were measured, and the peak and valley voltage were 2.03 and 2.17 V, respectively. A 140-mV-wide hysteresis loop and an optical on/off ratio of 21 dB were obtained. The device has potential applications in biomedicine and optical interconnects."
30-Gbps Directly Modulated Semiconductor Lasers Based on Surface High-Order Gratings,"['Pijie Ma', 'Yufei Jia', 'Anjin Liu', 'Jingxuan Chen', 'Mingjin Wang', 'Jing Li', 'Wanhua Zheng']",IEEE Photonics Technology Letters,2021,5,0,https://ieeexplore.ieee.org/document/9316752/,"{'Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China'}",{'China'},"Semiconductor lasers with surface high-order gratings have been fabricated and measured. 31^{\mathrm {st}} -order gratings were defined by the standard contact-type i-line photolithography near the front facet and subsequently etched into the ridges of the semiconductor lasers by the inductively coupled plasma. Both the static and dynamic characteristics were investigated. The threshold current and maximum output power are 22 mA and 12 mW, respectively. Side-mode suppression ratios are larger than 35 dB at bias currents except approximately 145 mA due to mode hopping. −3 dB bandwidth of the small signal response is 13.8 GHz at 130 mA. The eye diagram at a bit rate of 30 Gbps is clearly open."
How Target Physical Properties Affect Thin-Body Semiconductor Doping When Using Energetic Ions: A Modeling-Based Analysis,"['Maryam Shayesteh', 'Ray Duffy']",IEEE Transactions on Semiconductor Manufacturing,2015,2,0,https://ieeexplore.ieee.org/document/7172537/,"{'Tyndall National Institute, University College Cork, Cork, Ireland'}",{'Ireland'},"In this paper, the authors investigate how target sputtering, dose retention, and damage formation is generated in thin-body semiconductors by means of energetic ion impacts. The problems associated with ion implanting or plasma doping Si thin-bodies are well documented, however, it is not clear how changing the target material to other semiconductors currently being considering for multi-gate field-effect transistor devices will counteract or enhance these effects. By means of binary collision approximation based modeling with the Stopping and Range of Ions in Matter (SRIM) software, we explore the consequences of different target atomic density, lattice density, surface binding energies, and lattice binding energies on target sputtering, dose retention, and damage formation."
Lossless electroabsorption modulator monolithically integrated with a semiconductor optical amplifier and dual-waveguide spot-size converters,"['Lianping Hou', 'Hongliang Zhu', 'Fan Zhou', 'Lufeng Wang', 'Jing Bian', 'Wei Wang']",IEEE Photonics Technology Letters,2005,7,1,https://ieeexplore.ieee.org/document/1471759/,"{'National Research Center for Optoelectronic Technology, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China'}",{'China'},"Semiconductor optical amplifier and electroabsorption modulator monolithically integrated with dual-waveguide spot-size converters at the input and output ports is demonstrated by means of selective area growth, quantum-well intermixing, and asymmetric twin waveguide technologies. At the wavelength range of 1550/spl sim/1600 nm, lossless operation with extinction ratios of 25-dB dc and 11.8-dB radio frequency and more than 10-GHz 3-dB modulation bandwidth is successfully achieved. The output beam divergence angles of the device in the horizontal and vertical directions are as small as 7.3/spl deg//spl times/10.6/spl deg/, respectively, resulting in 3.0-dB coupling loss with cleaved single-mode optical fiber."
High-Power Semiconductor Laser Fabricated by Standard Photolithography for Direct Modulation,"['Jing Li', 'Xueyou Wang', 'Yuanbo Xu', 'Fengxin Dong', 'Fangling Du', 'Hailing Wang', 'Wanhua Zheng']",IEEE Photonics Technology Letters,2023,1,0,https://ieeexplore.ieee.org/document/10029874/,"{'Weifang Academy of Advanced Optoelectronic Circuits, Shandong, Weifang, China', 'Key Laboratory of Solid-State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China'}",{'China'},"High-power semiconductor laser with an integrated master oscillator power amplifier (MOPA) based on the surface-slotted structure is demonstrated. The lasing wavelength of 1.5~\mu \text{m} is achieved by using a group of micron-level slots fabricated by standard photolithography. The laser exhibits continuous-wave output power of up to 225 mW in the single-mode operation at room temperature. At the maximum output power, the modulation bandwidth is larger than 7 GHz, demonstrating the excellent performance of the MOPA based on the surface-slotted structure."
Discretely Tunable Semiconductor Lasers Suitable for Photonic Integration,"['Diarmuid C. Byrne', 'Jan Peter Engelstaedter', 'Wei-Hua Guo', 'Qiao Yin Lu', 'Brian Corbett', 'Brendan Roycroft', ""James O'Callaghan"", 'F. H. Peters', 'John F. Donegan']",IEEE Journal of Selected Topics in Quantum Electronics,2009,57,0,https://ieeexplore.ieee.org/document/4926148/,"{'Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland', 'Physics Department, University College Cork, Cork, Ireland', 'Centre for Telecommunication Value Driven Research (CTVR), Tyndall National Institute, Cork, Ireland'}",{'Ireland'},A sequence of partially reflective slots etched into an active ridge waveguide of a 1.5 mum laser structure is found to provide sufficient reflection for lasing. Mirrors based on these reflectors have strong spectral dependence. Two such active mirrors together with an active central section are combined in a Vernier configuration to demonstrate a tunable laser exhibiting 11 discrete modes over a 30 nm tuning range with mode spacing around 400 GHz and side-mode suppression ratio larger than 30 dB. The individual modes can be continuously tuned by up to 1.1 nm by carrier injection and by over 2 nm using thermal effects. These mirrors are suitable as a platform for integration of other optical functions with the laser. This is demonstrated by monolithically integrating a semiconductor optical amplifier with the laser resulting in a maximum channel power of 14.2 dBm from the discrete modes.
Low-Cost AWG-Based Fundamental Frequency Mode-Locked Semiconductor Laser for Multichannel Synchronous Ultrashort Pulse Generation,"['Songtao Liu', 'Xilin Zhang', 'Wei Wang', 'Lingjuan Zhao', 'Qiang Kan', 'Dan Lu', 'Ruikang Zhang', 'Chen Ji']",IEEE Photonics Journal,2016,0,0,https://ieeexplore.ieee.org/document/7565538/,"{'Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China'}",{'China'},"Impact Statement:Synchronized multichannel mode-locked laser sources with a relatively low repetition frequency but high channel count are of great interest as ideal ultrashort optical sources for future optical applications. We report our recent progress on developing a cost-effective synchronized multichannel mode-locked semiconductor laser based on a flat-top spectral response arrayed waveguide grating working in the fundamental mode-locking regime with a repetition rate of 4.1 GHz.We report a low-cost arrayed waveguide grating (AWG) based mode-locked semiconductor laser designed for multichannel synchronous ultrashort pulse generation. Both the fabrication process and chip characterization results are discussed in detail. By deploying a bundle active-passive photonic integration technique, only one regrowth step is required to monolithically integrate a semiconductor optical amplifier array, an AWG, and a common saturable absorber on a single InP substrate. Combined with a shallow ridge waveguide structure common for both active and passive sections and formed in a single dry etching process, our process allows the fabrication of the monolithic photonic integrated circuit chip in a much simplified process. The fabricated device demonstrated multichannel mode-locking operation at a repetition frequency of 4.1 GHz in a fundamental mode-locking regime under both passive mode-locking and synchronous hybrid mode-locking conditions. Timing jitter as low as 1 ps was obtained, and preliminary pulse chirping characteristics were analyzed by a frequency-resolved optical gating technique. The exhibited performance makes our device a promising candidate as a multichannel ultrashort pulse optical source for future cost-effective high-speed optical networking and signal processing applications."
